Rank,Rating,Player,Date,Age
01,2882,Magnus Carlsen,May 2014,"23 years, 5 months"
02,2851,Garry Kasparov,July 1999,"36 years, 2 months"
03,2844,Fabiano Caruana,October 2014,"22 years, 2 months"
04,2830,Levon Aronian,March 2014,"31 years, 4 months"
05,2822,Wesley So,February 2017,"23 years, 3 months"
06,2820,Shakhriyar Mamedyarov,September 2018,"33 years, 4 months"
07,2819,Maxime Vachier-Lagrave, August 2016,"25 years, 9 months"
08,2817,Viswanathan Anand,March 2011,"41 years, 2 months"
08,2817,Vladimir Kramnik,October 2016,"41 years, 3 months"
10,2816,Veselin Topalov,July 2015,"40 years, 3 months"
10,2816,Hikaru Nakamura,October 2015,"27 years, 9 months"
10,2816,Ding Liren,November 2018,26 years
13,2810,Alexander Grischuk,December 2014,"31 years, 1 month"
14,2804,Alireza Firouzja,December 2021,"18 years, 5 months"
15,2801,Arjun Erigaisi,December 2024,"21 years, 2 months"
16,2798,Anish Giri,October 2015,"21 years, 3 months"
17,2795,Ian Nepomniachtchi,March 2023,"32 years, 7 months"
18,2794,Gukesh Dommaraju,October 2024,"18 years, 4 months"
19,2793,Teimour Radjabov,November 2012,"25 years, 7 months"
20,2788,Alexander Morozevich,July 2008,"30 years, 11 months"
